Champ Name,Cost,Health,Mana,Armour,Damage,Attack Speed,Crit Rate %,Range,Sum Health,Sum Mana,Sum DPS,Sum Damage
alistar,1,650 / 1170 / 2106,30 / 100,40,50 / 90 / 162,0.55,25,1,3926,130,167,302
annie,4,850 / 1530 / 2754,40,30,30 / 54 / 97,0.75,25,4,5134,40,137,181
aphelios,4,800 / 1440 / 2592,60,30,63 / 113 / 204,0.75,25,4,4832,60,285,380
aurora,5,800 / 1440 / 2592,20 / 80,40,50 / 90 / 162,0.8,25,4,4832,100,242,302
brand,4,800 / 1440 / 2592,25 / 75,30,35 / 63 / 113,0.75,25,4,4832,100,158,211
braum,3,850 / 1530 / 2754,30 / 100,50,60 / 108 / 194,0.6,25,1,5134,130,218,362
chogath,4,1000 / 1800 / 3240,60 / 120,50,65 / 117 / 211,0.6,25,1,6040,180,235,393
darius,2,800 / 1440 / 2592,30 / 80,45,65 / 117 / 211,0.65,25,1,4832,110,255,393
dr_mundo,1,650 / 1170 / 2106,30 / 90,35,50 / 90 / 162,0.6,25,1,3926,120,181,302
draven,3,700 / 1260 / 2268,30 / 120,25,52 / 94 / 168,0.75,25,4,4228,150,235,314
ekko,2,800 / 1440 / 2592,30 / 80,45,45 / 81 / 146,0.7,25,1,4832,110,190,272
elise,3,700 / 1260 / 2268,55,25,40 / 72 / 130,0.75,25,4,4228,55,181,242
fiddlesticks,3,800 / 1440 / 2592,50,50,40 / 72 / 130,0.7,25,2,4832,50,169,242
galio,3,900 / 1620 / 2916,20 / 80,50,60 / 108 / 194,0.6,25,1,5436,100,218,362
garen,5,1100 / 1980 / 3564,30 / 100,60,80 / 144 / 259,0.85,25,1,6644,130,410,483
gragas,3,850 / 1530 / 2754,30 / 90,50,50 / 90 / 162,0.6,25,1,5134,120,181,302
graves,2,800 / 1440 / 2592,2,60,58 / 104 / 188,0.6,25,2,4832,2,211,350
illaoi,2,800 / 1440 / 2592,60,45,60 / 108 / 194,0.6,25,1,4832,60,218,362
